q_id,web_list
119,"[108, 1617, 1551, 1536, 926]"
120,"[905, 1605, 1041, 1121, 1594]"
121,"[369, 374, 363, 1185, 372]"
122,"[9, 10, 11, 12, 654]"
123,"[407, 146, 935, 1897, 1922]"
124,"[1903, 415, 845, 111, 1701]"
125,"[369, 832, 886, 58, 1607]"
126,"[628, 646, 649, 867, 161]"
127,"[326, 405, 1042, 1068, 924]"
128,"[1922, 1926, 1921, 828, 303]"
129,"[363, 741, 768, 757, 400]"
130,"[1722, 700, 1159, 115, 246]"
131,"[1627, 1905, 794, 1557, 1618]"
132,"[327, 1885, 1180, 1032, 482]"
133,"[1884, 58, 1516, 1936, 687]"
134,"[54, 1907, 1885, 1587, 57]"
135,"[757, 768, 770, 1158, 369]"
136,"[1175, 57, 328, 660, 1041]"
137,"[884, 1586, 1556, 1538, 1615]"
138,"[372, 1676, 1598, 1070, 1554]"
139,"[886, 926, 990, 305, 1053]"
140,"[1721, 1003, 808, 239, 236]"
141,"[718, 697, 1592, 1929, 592]"
142,"[1526, 1899, 321, 1529, 1588]"
143,"[172, 1586, 1583, 173, 1193]"
144,"[594, 1095, 1830, 1543, 1900]"
145,"[1547, 1901, 478, 1924, 1155]"
146,"[453, 907, 1525, 83, 837]"
147,"[963, 1897, 1922, 232, 636]"
148,"[1428, 1882, 1489, 1907, 1532]"
149,"[1925, 1095, 255, 1072, 1098]"
150,"[1080, 342, 58, 1158, 379]"
151,"[1542, 289, 1528, 1906, 1530]"
152,"[1113, 43, 1545, 1915, 1533]"
153,"[407, 1552, 1902, 1917, 934]"
154,"[907, 133, 1884, 82, 83]"
155,"[1600, 1530, 1613, 1680, 1553]"
156,"[106, 1539, 1629, 697, 871]"
157,"[744, 363, 1157, 747, 746]"
158,"[1489, 1554, 1886, 1528, 1906]"
159,"[811, 698, 46, 48, 1638]"
160,"[54, 1106, 761, 1586, 305]"
161,"[413, 1897, 1922, 1618, 1071]"
162,"[1556, 1538, 1615, 1527, 1627]"
163,"[457, 467, 1617, 679, 680]"
164,"[1898, 1536, 907, 78, 1932]"
165,"[83, 453, 133, 837, 82]"
166,"[766, 673, 625, 631, 767]"
167,"[1628, 1552, 1902, 1516, 1118]"
168,"[288, 57, 54, 203, 928]"
169,"[912, 136, 886, 350, 137]"
170,"[1676, 1490, 256, 1077, 1080]"
171,"[1125, 1202, 410, 326, 125]"
172,"[1307, 1526, 1899, 1926, 1527]"
173,"[134, 906, 1547, 1901, 1542]"
174,"[1064, 1042, 1621, 1626, 1587]"
175,"[782, 863, 1534, 1537, 1533]"
176,"[829, 130, 1276, 1286, 341]"
177,"[926, 1544, 966, 990, 886]"
178,"[1526, 1899, 1554, 1527, 1627]"
179,"[796, 425, 171, 875, 1541]"
180,"[1917, 1516, 722, 116, 1545]"
181,"[1615, 1556, 1586, 891, 1537]"
182,"[255, 1098, 1531, 1072, 1894]"
183,"[1902, 1561, 341, 1618, 1297]"
184,"[722, 926, 1545, 1921, 1930]"
185,"[670, 1646, 162, 1025, 60]"
186,"[1906, 1186, 1598, 362, 372]"
187,"[1904, 1527, 1627, 1905, 1521]"
188,"[1543, 1900, 1915, 1917, 1724]"
189,"[6, 7, 8, 9, 10]"
190,"[1902, 926, 1092, 1561, 1935]"
191,"[825, 1607, 1495, 372, 321]"
192,"[1931, 1032, 1749, 1583, 1928]"
193,"[1516, 1917, 426, 1898, 374]"
194,"[1882, 457, 1897, 1922, 677]"
195,"[761, 1248, 752, 1516, 783]"
196,"[1071, 112, 890, 413, 1617]"
197,"[770, 768, 1158, 762, 739]"
198,"[1921, 722, 1915, 1935, 1545]"
199,"[926, 884, 1618, 827, 1907]"
200,"[1900, 110, 1915, 1917, 57]"
201,"[920, 1908, 172, 936, 937]"
202,"[1902, 1915, 1042, 1587, 1032]"
203,"[886, 133, 83, 453, 1884]"
204,"[379, 1473, 1538, 1615, 1495]"
205,"[1917, 1552, 1902, 1617, 926]"
206,"[1536, 907, 857, 83, 1525]"
207,"[112, 890, 1713, 1533, 465]"
208,"[1600, 110, 1617, 427, 57]"
209,"[1541, 4, 37, 1553, 1628]"
210,"[177, 722, 1607, 1205, 271]"
211,"[1617, 371, 43, 1713, 44]"
212,"[1543, 1900, 105, 1748, 1071]"
213,"[1897, 1922, 1242, 1243, 1245]"
214,"[1259, 1261, 1675, 1256, 429]"
215,"[1900, 426, 1898, 457, 1536]"
216,"[106, 1070, 1916, 1926, 1623]"
217,"[1246, 1249, 337, 1517, 622]"
218,"[1623, 1026, 1486, 1916, 928]"
219,"[926, 1550, 1906, 1528, 1555]"
220,"[1618, 1534, 1550, 1930, 108]"
221,"[1721, 292, 246, 1722, 1053]"
222,"[1901, 341, 1073, 1641, 1556]"
223,"[1907, 163, 1926, 1700, 1066]"
224,"[1587, 1554, 1199, 1908, 871]"
225,"[1588, 1528, 1906, 1928, 72]"
226,"[1028, 1542, 1554, 1244, 423]"
227,"[1054, 604, 173, 1522, 1610]"
228,"[375, 390, 1614, 1522, 1521]"
229,"[681, 718, 688, 1056, 746]"
230,"[1033, 1907, 1926, 106, 1898]"
231,"[1106, 596, 592, 575, 761]"
232,"[1900, 1897, 1922, 1580, 1926]"
233,"[1614, 1926, 1897, 1922, 1601]"
234,"[1903, 1551, 1586, 1103, 430]"
235,"[114, 886, 1617, 1067, 1604]"
236,"[112, 890, 427, 698, 58]"
237,"[904, 1065, 1066, 874, 321]"
238,"[1528, 1906, 1256, 1043, 598]"
239,"[1661, 1267, 444, 1543, 1900]"
240,"[1592, 1929, 697, 1159, 1722]"
241,"[368, 1095, 1600, 1925, 255]"
242,"[886, 1152, 1528, 1906, 355]"
243,"[410, 1157, 1598, 1749, 1528]"
244,"[1896, 602, 1202, 410, 1193]"
245,"[1536, 1598, 1907, 1936, 1897]"
246,"[1915, 1619, 1570, 1072, 1561]"
247,"[238, 200, 138, 204, 737]"
248,"[1538, 1615, 1556, 832, 58]"
249,"[1922, 862, 1533, 1307, 463]"
250,"[1196, 707, 453, 682, 1624]"
251,"[713, 1636, 770, 1726, 891]"
252,"[1917, 1916, 885, 1543, 1900]"
253,"[1204, 1246, 1249, 337, 1517]"
254,"[1552, 1902, 1917, 1884, 1561]"
255,"[687, 887, 1070, 1321, 695]"
256,"[1928, 1528, 1906, 1598, 1080]"
257,"[837, 625, 133, 363, 83]"
258,"[1324, 808, 236, 661, 29]"
259,"[1900, 1530, 1613, 1068, 935]"
260,"[832, 83, 907, 837, 1572]"
261,"[78, 453, 1554, 1525, 907]"
262,"[761, 1257, 914, 915, 952]"
263,"[1545, 1042, 1530, 1613, 1049]"
264,"[1570, 770, 741, 768, 363]"
265,"[623, 54, 759, 752, 1921]"
266,"[1095, 1032, 1907, 1536, 1133]"
267,"[1552, 1902, 1558, 1915, 1917]"
268,"[1070, 687, 339, 1543, 1900]"
269,"[859, 688, 289, 1070, 1537]"
270,"[1608, 1428, 1882, 1537, 1556]"
271,"[197, 721, 886, 1038, 1042]"
272,"[1052, 1894, 885, 1107, 1930]"
273,"[1677, 1664, 722, 1528, 1906]"
274,"[1556, 1538, 1615, 1072, 368]"
275,"[767, 741, 747, 1339, 746]"
276,"[511, 1676, 1557, 1167, 1301]"
277,"[1577, 935, 783, 194, 258]"
278,"[1608, 1586, 1072, 1537, 1604]"
279,"[926, 1555, 1550, 123, 108]"
280,"[757, 926, 368, 1645, 762]"
281,"[1586, 1538, 1615, 1556, 1537]"
282,"[1495, 333, 1473, 510, 1428]"
283,"[255, 1098, 1095, 1072, 1062]"
284,"[1538, 1615, 1556, 1608, 1897]"
285,"[11, 12, 35, 36, 38]"
286,"[1902, 1607, 1561, 1516, 1677]"
287,"[1586, 1157, 1544, 368, 1608]"
288,"[333, 1473, 510, 655, 1129]"
289,"[1317, 967, 251, 885, 1528]"
290,"[1552, 1902, 1917, 1133, 1516]"
291,"[74, 1663, 722, 1558, 133]"
292,"[324, 97, 96, 667, 98]"
293,"[623, 1267, 1541, 455, 1270]"
294,"[1612, 1545, 1530, 1613, 1556]"
295,"[1917, 1561, 1932, 1931, 687]"
296,"[1935, 1921, 324, 1049, 1607]"
297,"[1902, 1042, 1587, 1092, 1041]"
298,"[1897, 1922, 1926, 1042, 1242]"
299,"[1531, 700, 1653, 96, 674]"
300,"[871, 1530, 1613, 1199, 1556]"
301,"[1936, 349, 1043, 1598, 1676]"
302,"[1249, 337, 1517, 622, 1744]"
303,"[1721, 598, 575, 596, 600]"
304,"[1536, 1562, 110, 1599, 1897]"
305,"[875, 160, 171, 796, 651]"
306,"[1428, 1882, 1728, 57, 1727]"
307,"[680, 681, 718, 926, 1071]"
308,"[407, 1586, 1587, 1042, 934]"
309,"[1613, 1525, 1526, 1899, 453]"
310,"[1147, 1655, 1089, 391, 452]"
311,"[1536, 1054, 309, 1887, 1021]"
312,"[1553, 1628, 1118, 664, 658]"
313,"[1324, 1607, 1921, 1495, 1676]"
314,"[11, 12, 35, 36, 38]"
315,"[425, 194, 934, 1932, 1933]"
316,"[768, 770, 1158, 739, 762]"
317,"[1521, 1562, 1531, 88, 413]"
318,"[884, 1926, 95, 1527, 1627]"
319,"[1917, 1884, 1561, 1092, 1516]"
320,"[977, 1495, 139, 214, 1053]"
321,"[1902, 1884, 886, 935, 953]"
322,"[1897, 1922, 1072, 426, 1898]"
323,"[131, 134, 906, 737, 856]"
324,"[698, 1521, 48, 811, 1638]"
325,"[575, 58, 1548, 1580, 1256]"
326,"[757, 369, 1608, 770, 1186]"
327,"[476, 1428, 1882, 457, 1536]"
328,"[1558, 374, 1617, 294, 825]"
329,"[1930, 107, 1321, 695, 696]"
330,"[1915, 1917, 334, 1558, 1536]"
331,"[127, 828, 16, 18, 1194]"
332,"[1607, 1617, 1618, 926, 1930]"
333,"[1538, 1615, 1608, 1556, 1586]"
334,"[379, 1538, 1615, 1473, 1495]"
335,"[1584, 292, 892, 1591, 1562]"
336,"[37, 933, 171, 875, 160]"
337,"[107, 688, 1040, 687, 1930]"
338,"[928, 1587, 1586, 1029, 932]"
339,"[1615, 1556, 1586, 891, 1537]"
340,"[653, 1133, 467, 1917, 1607]"
341,"[1898, 1543, 1900, 1604, 1552]"
342,"[1900, 1917, 98, 864, 865]"
343,"[1900, 1607, 1917, 1897, 1922]"
344,"[1072, 452, 1080, 1930, 1530]"
345,"[1102, 1157, 1105, 1083, 309]"
346,"[623, 1157, 1921, 1113, 1544]"
347,"[1600, 1724, 1889, 1175, 1552]"
348,"[886, 1528, 1906, 1547, 1901]"
349,"[1889, 1516, 1536, 1724, 1113]"
350,"[1902, 1558, 1550, 1548, 1543]"
351,"[1528, 1906, 1741, 90, 1887]"
352,"[1538, 1615, 1544, 1556, 1072]"
353,"[1016, 1746, 1516, 1624, 632]"
354,"[1587, 1586, 425, 1536, 1193]"
355,"[369, 935, 1248, 1552, 1902]"
356,"[1600, 1602, 1543, 1900, 623]"
357,"[1522, 1543, 1900, 1066, 369]"
358,"[305, 990, 1196, 963, 232]"
359,"[1552, 1902, 1915, 679, 680]"
360,"[1902, 1915, 1583, 698, 1042]"
361,"[1520, 1620, 1587, 1908, 1926]"
362,"[113, 1915, 1042, 1587, 1092]"
363,"[1589, 1904, 1607, 1526, 1899]"
364,"[465, 157, 936, 920, 1586]"
365,"[1626, 1538, 1615, 1563, 1907]"
366,"[796, 171, 160, 933, 4]"
367,"[1570, 737, 891, 336, 1574]"
368,"[1918, 156, 1586, 1193, 1587]"
369,"[236, 1556, 963, 1003, 240]"
370,"[575, 1548, 1931, 1552, 1902]"
371,"[752, 761, 926, 1552, 1902]"
372,"[657, 96, 667, 663, 1196]"
373,"[1167, 610, 406, 407, 648]"
374,"[813, 1548, 1908, 1915, 1543]"
375,"[664, 453, 657, 1553, 1628]"
376,"[1922, 476, 1071, 457, 1178]"
377,"[1917, 761, 1561, 1092, 752]"
378,"[888, 110, 1571, 1826, 106]"
379,"[1905, 1892, 1616, 1671, 1745]"
380,"[1615, 1537, 932, 1608, 1121]"
381,"[1538, 1615, 1556, 1186, 757]"
382,"[1552, 1902, 1884, 1917, 1618]"
383,"[1249, 337, 1517, 622, 1744]"
384,"[1914, 1909, 1908, 1103, 1034]"
385,"[453, 1281, 1525, 907, 1536]"
386,"[1557, 1915, 1544, 1524, 1559]"
387,"[1676, 1607, 368, 452, 828]"
388,"[368, 289, 277, 383, 205]"
389,"[625, 1066, 1017, 1042, 926]"
390,"[116, 722, 1921, 1106, 1557]"
391,"[1064, 1600, 1526, 1899, 1123]"
392,"[1627, 1905, 188, 1554, 433]"
393,"[1921, 1324, 2, 3, 1935]"
394,"[1884, 575, 907, 82, 1525]"
395,"[1882, 476, 1587, 1554, 1617]"
396,"[133, 1931, 837, 1252, 83]"
397,"[390, 1921, 1897, 1922, 1623]"
398,"[761, 1935, 1032, 1158, 759]"
399,"[1907, 1193, 1536, 1926, 928]"
400,"[1619, 1907, 901, 1894, 1127]"
401,"[434, 808, 1256, 654, 1299]"
402,"[1249, 337, 1517, 622, 1744]"
403,"[1618, 926, 1133, 1558, 1555]"
404,"[990, 1558, 374, 926, 886]"
405,"[1301, 1255, 741, 744, 1252]"
406,"[926, 368, 114, 1617, 1528]"
407,"[1607, 1917, 341, 1552, 1902]"
408,"[864, 1552, 1902, 865, 926]"
409,"[680, 681, 718, 1724, 697]"
410,"[1914, 1032, 1592, 1929, 1533]"
411,"[681, 718, 606, 1607, 133]"
412,"[708, 1604, 926, 132, 716]"
413,"[1543, 1900, 286, 966, 1935]"
414,"[653, 461, 409, 1309, 144]"
415,"[910, 1207, 1191, 1570, 115]"
416,"[1897, 1922, 1242, 1243, 1245]"
417,"[1906, 1619, 373, 425, 1558]"
418,"[886, 953, 153, 1672, 737]"
419,"[1645, 625, 953, 342, 1186]"
420,"[913, 140, 146, 916, 1004]"
421,"[372, 679, 680, 681, 718]"
422,"[1905, 1886, 1489, 1532, 1589]"
423,"[631, 1248, 515, 567, 1557]"
424,"[1186, 757, 768, 770, 1157]"
425,"[363, 768, 757, 369, 400]"
426,"[1870, 260, 1549, 1544, 1137]"
427,"[1900, 1552, 1902, 1915, 1897]"
428,"[368, 278, 1318, 1608, 1538]"
429,"[1888, 1619, 371, 120, 1586]"
430,"[1079, 110, 926, 1930, 366]"
431,"[687, 679, 680, 681, 718]"
432,"[1242, 1243, 1245, 424, 1897]"
433,"[412, 1607, 1721, 1552, 1902]"
434,"[1613, 1930, 1907, 928, 1583]"
435,"[1617, 1158, 1252, 342, 467]"
436,"[116, 1935, 1545, 1921, 886]"
437,"[1598, 757, 745, 743, 762]"
438,"[1909, 1547, 1901, 926, 1926]"
439,"[133, 631, 453, 907, 515]"
440,"[1902, 1042, 1587, 1092, 1041]"
441,"[1249, 337, 1517, 622, 1744]"
442,"[1563, 1583, 1930, 453, 1542]"
443,"[349, 369, 471, 832, 1607]"
444,"[1315, 1072, 1930, 1005, 255]"
445,"[246, 115, 1722, 1592, 1929]"
446,"[1902, 1917, 1897, 1922, 1042]"
447,"[371, 1921, 1915, 825, 374]"
448,"[1900, 1917, 966, 326, 935]"
449,"[1587, 1748, 1530, 1613, 1542]"
450,"[200, 1918, 1133, 1583, 928]"
451,"[1186, 741, 757, 768, 400]"
452,"[1583, 1042, 1543, 1900, 936]"
453,"[1917, 1516, 687, 1932, 1931]"
454,"[1900, 1197, 425, 1917, 426]"
455,"[256, 1319, 1012, 261, 1278]"
456,"[1922, 113, 457, 1532, 1589]"
457,"[1900, 1884, 1552, 1902, 1915]"
458,"[1721, 1544, 1072, 1608, 260]"
459,"[116, 1095, 679, 680, 681]"
460,"[1049, 886, 1094, 1917, 1032]"
461,"[1615, 1607, 1537, 1608, 1544]"
462,"[1921, 1003, 452, 808, 1247]"
463,"[1897, 1922, 954, 1070, 1562]"
464,"[1917, 761, 935, 478, 1924]"
465,"[115, 415, 111, 845, 1673]"
466,"[324, 1533, 175, 1887, 1618]"
467,"[669, 1643, 1536, 812, 891]"
468,"[1204, 1246, 1249, 337, 1517]"
469,"[1067, 1586, 1608, 1556, 1537]"
470,"[1917, 1543, 1900, 426, 1898]"
471,"[373, 1298, 1300, 1609, 1677]"
472,"[9, 10, 11, 12, 35]"
473,"[1040, 1043, 1042, 1538, 1615]"
474,"[688, 1057, 849, 687, 1721]"
475,"[1542, 1545, 1530, 1613, 1612]"
476,"[1555, 1618, 1550, 926, 123]"
477,"[116, 72, 131, 134, 906]"
478,"[932, 920, 1193, 157, 1520]"
479,"[1552, 1902, 1915, 1536, 1092]"
480,"[1186, 372, 741, 757, 374]"
481,"[1607, 1558, 990, 679, 680]"
482,"[90, 1884, 1532, 1589, 1904]"
483,"[757, 741, 770, 768, 372]"
484,"[1915, 1552, 1902, 1724, 1321]"
485,"[413, 113, 1897, 1922, 1554]"
486,"[379, 1473, 1495, 1252, 1538]"
487,"[1929, 828, 467, 1533, 478]"
488,"[1626, 1746, 201, 1061, 542]"
489,"[277, 1100, 307, 350, 1928]"
490,"[1902, 1917, 1547, 1901, 1551]"
491,"[1746, 657, 663, 1553, 1628]"
492,"[1570, 1598, 1157, 741, 369]"
493,"[1886, 1552, 1902, 1907, 1926]"
494,"[1072, 1607, 88, 426, 1898]"
495,"[1542, 1546, 106, 453, 1530]"
496,"[1146, 1534, 331, 1533, 1547]"
497,"[1536, 255, 1080, 1928, 1598]"
498,"[1586, 1029, 324, 813, 1033]"
499,"[1926, 1522, 1516, 1082, 375]"
500,"[9, 10, 11, 12, 35]"
501,"[1600, 1132, 888, 1064, 1123]"
502,"[1207, 109, 44, 49, 43]"
503,"[369, 1596, 1105, 1623, 120]"
504,"[1917, 1586, 1041, 1193, 1520]"
505,"[1131, 777, 1155, 1159, 361]"
506,"[6, 7, 8, 9, 10]"
507,"[813, 1197, 1548, 1908, 934]"
508,"[1588, 114, 372, 1617, 1091]"
509,"[1193, 1583, 1926, 426, 1898]"
510,"[1902, 1558, 1557, 1619, 1561]"
511,"[1113, 390, 1552, 1902, 1561]"
512,"[372, 1607, 368, 1930, 926]"
513,"[926, 286, 1124, 606, 911]"
514,"[1619, 1072, 1592, 1929, 1107]"
515,"[1533, 1587, 1586, 1741, 1033]"
516,"[953, 943, 885, 1543, 1900]"
517,"[752, 739, 374, 1928, 1157]"
518,"[1902, 54, 1561, 936, 1587]"
519,"[1056, 164, 229, 987, 966]"
520,"[1617, 644, 1543, 1900, 108]"
521,"[452, 1524, 1559, 1531, 1742]"
522,"[246, 1304, 115, 1182, 108]"
523,"[1885, 1042, 374, 1084, 1528]"
524,"[1041, 1053, 1590, 886, 1034]"
525,"[1619, 1917, 1557, 1248, 1558]"
526,"[935, 783, 426, 1898, 1713]"
527,"[326, 1054, 309, 324, 1749]"
528,"[1894, 901, 1554, 366, 1527]"
529,"[11, 12, 35, 36, 38]"
530,"[865, 413, 868, 1748, 1907]"
531,"[722, 116, 1915, 1528, 1906]"
532,"[1076, 594, 1260, 548, 430]"
533,"[1884, 453, 1157, 1113, 368]"
534,"[1915, 1281, 1543, 1900, 1917]"
535,"[708, 133, 688, 954, 884]"
536,"[1607, 1932, 1587, 1034, 1749]"
537,"[1900, 1552, 1902, 1915, 1917]"
538,"[1551, 1607, 1677, 1535, 1903]"
539,"[477, 259, 1288, 1296, 1617]"
540,"[1900, 1897, 1922, 426, 1898]"
541,"[697, 650, 1538, 1615, 1722]"
542,"[1178, 888, 1604, 1897, 1922]"
543,"[1185, 1917, 757, 741, 735]"
544,"[200, 928, 1623, 1916, 1026]"
545,"[1615, 739, 1255, 903, 403]"
546,"[203, 625, 1125, 737, 783]"
547,"[1586, 368, 1537, 1608, 1544]"
548,"[78, 907, 133, 1884, 368]"
549,"[1113, 372, 467, 1307, 463]"
550,"[1671, 1745, 1926, 1545, 1050]"
551,"[200, 1043, 324, 1528, 1906]"
552,"[1056, 1072, 1537, 1586, 1583]"
553,"[757, 1157, 369, 768, 372]"
554,"[1586, 1556, 1538, 1615, 369]"
555,"[453, 907, 83, 1884, 837]"
556,"[16, 18, 1194, 1204, 1246]"
557,"[1072, 372, 1542, 1626, 1676]"
558,"[868, 1071, 1618, 1897, 1922]"
559,"[88, 1071, 1428, 1882, 476]"
560,"[679, 680, 681, 718, 1042]"
561,"[1552, 1902, 110, 1915, 1617]"
562,"[1902, 1897, 1922, 1618, 1527]"
563,"[1594, 650, 453, 644, 907]"
564,"[1552, 1902, 1133, 1917, 1915]"
565,"[425, 1917, 406, 407, 1586]"
566,"[1897, 1922, 1552, 1902, 1071]"
567,"[1118, 453, 632, 1516, 1746]"
568,"[687, 1552, 1902, 1321, 695]"
569,"[1916, 1907, 1530, 1613, 1918]"
570,"[1596, 1495, 1625, 1595, 1624]"
571,"[1526, 1899, 1910, 1928, 106]"
572,"[1543, 1900, 455, 1192, 1042]"
573,"[1536, 1025, 1157, 426, 1898]"
574,"[1157, 1607, 1676, 452, 1252]"
575,"[1921, 1558, 1552, 1902, 116]"
576,"[655, 623, 654, 1936, 1276]"
577,"[11, 12, 35, 36, 38]"
578,"[1615, 935, 1556, 1537, 1072]"
579,"[113, 1587, 936, 602, 1583]"
580,"[1930, 986, 167, 1590, 195]"
581,"[737, 885, 1930, 1052, 359]"
582,"[1619, 1003, 1534, 1897, 1922]"
583,"[1621, 1914, 1907, 1520, 1620]"
584,"[1617, 1562, 1531, 478, 1924]"
585,"[1596, 1106, 1128, 1623, 510]"
586,"[886, 1545, 1053, 737, 203]"
587,"[1607, 1522, 1622, 1563, 1623]"
588,"[1583, 1520, 1620, 1618, 1041]"
589,"[176, 1133, 1535, 1903, 928]"
590,"[1547, 1901, 1552, 1902, 903]"
591,"[1924, 1884, 700, 381, 666]"
592,"[1661, 801, 23, 1314, 50]"
593,"[1902, 1516, 1624, 1196, 632]"
594,"[1536, 886, 1548, 1885, 1157]"
595,"[1552, 1902, 1917, 1557, 349]"
596,"[1900, 698, 465, 426, 1898]"
597,"[1627, 1905, 1926, 1537, 1538]"
598,"[1676, 374, 403, 783, 6]"
599,"[1721, 697, 1106, 333, 1123]"
600,"[1552, 1902, 1917, 1536, 1618]"
601,"[239, 808, 761, 29, 236]"
602,"[935, 1917, 1915, 1516, 636]"
603,"[1905, 48, 1616, 1671, 1745]"
604,"[1249, 337, 1517, 622, 1744]"
605,"[1902, 1561, 286, 341, 953]"
606,"[1520, 1620, 1193, 1908, 1917]"
607,"[1613, 1072, 901, 1676, 1098]"
